"filename", "language", "PHP", "comment", "blank", "total"
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\dsdivision\edit.blade.php", "PHP", 77, 0, 11, 88
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\dsdivision\index.blade.php", "PHP", 39, 0, 9, 48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\dsdivision\show.blade.php", "PHP", 53, 0, 11, 64
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\ethnicity\create.blade.php", "PHP", 55, 0, 8, 63
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\ethnicity\edit.blade.php", "PHP", 56, 0, 11, 67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\ethnicity\index.blade.php", "PHP", 39, 0, 9, 48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\ethnicity\show.blade.php", "PHP", 45, 0, 7, 52
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\forces\create.blade.php", "PHP", 55, 0, 8, 63
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\forces\edit.blade.php", "PHP", 56, 0, 11, 67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\forces\index.blade.php", "PHP", 39, 0, 9, 48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\forces\show.blade.php", "PHP", 45, 0, 7, 52
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\home.blade.php", "PHP", 77, 0, 10, 87
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\layouts\app.blade.php", "PHP", 115, 0, 22, 137
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\layouts\menu.blade.php", "PHP", 364, 0, 39, 403
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\layouts\sidebar.blade.php", "PHP", 15, 0, 3, 18
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\marital_status\create.blade.php", "PHP", 55, 0, 8, 63
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\marital_status\edit.blade.php", "PHP", 56, 0, 11, 67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\marital_status\index.blade.php", "PHP", 39, 0, 9, 48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\marital_status\show.blade.php", "PHP", 45, 0, 7, 52
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\permission_categories\create.blade.php", "PHP", 55, 0, 8, 63
