"filename", "language", "PHP", "SCSS", "CSS", "JavaScript", "comment", "blank", "total"
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\edit.blade.php", "PHP", -418, 0, 0, 0, -1, -48, -467
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\index.blade.php", "PHP", -38, 0, 0, 0, 0, -9, -47
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\noks\create.blade.php", "PHP", -204, 0, 0, 0, 0, -28, -232
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\noks\edit.blade.php", "PHP", -199, 0, 0, 0, 0, -28, -227
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\noks\index.blade.php", "PHP", -38, 0, 0, 0, 0, -9, -47
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\noks\show.blade.php", "PHP", -265, 0, 0, 0, 0, -56, -321
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\noks\show_neo.blade.php", "PHP", -171, 0, 0, 0, 0, -41, -212
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\show.blade.php", "PHP", -535, 0, 0, 0, -10, -81, -626
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\show_neo.blade.php", "PHP", -171, 0, 0, 0, 0, -41, -212
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\province\create.blade.php", "PHP", -55, 0, 0, 0, 0, -8, -63
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\province\edit.blade.php", "PHP", -56, 0, 0, 0, 0, -11, -67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\province\index.blade.php", "PHP", -39, 0, 0, 0, 0, -9, -48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\province\show.blade.php", "PHP", -45, 0, 0, 0, 0, -7, -52
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\ranaviru_types\create.blade.php", "PHP", -55, 0, 0, 0, 0, -8, -63
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\ranaviru_types\edit.blade.php", "PHP", -56, 0, 0, 0, 0, -11, -67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\ranaviru_types\index.blade.php", "PHP", -39, 0, 0, 0, 0, -9, -48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\ranaviru_types\show.blade.php", "PHP", -45, 0, 0, 0, 0, -7, -52
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\ranks\create.blade.php", "PHP", -82, 0, 0, 0, 0, -11, -93
